t,x,y,z,
13723,-0.0258393000324,1.23693180463,-0.705822629245,
13743,-0.034663184504,1.23691163016,-0.706156808483,
13758,-0.0590490902201,1.23647075431,-0.70709131726,
13782,-0.0724800100277,1.23598370316,-0.707615764595,
13801,-0.0989432817562,1.23451721413,-0.708669540343,
13824,-0.107700692094,1.23300367743,-0.707589841998,
13849,-0.11904127849,1.2320881074,-0.708038379948,
13868,-0.155230075541,1.22832886684,-0.709484048815,
13892,-0.185482882288,1.22420068532,-0.710727771805,
13905,-0.196583463601,1.22245865158,-0.711192301889,
13923,-0.205506443481,1.2209691636,-0.711567139083,
13943,-0.227322860319,1.21637704285,-0.710995833056,
13967,-0.235303964846,1.21481158878,-0.711325752866,
13991,-0.26855843237,1.20759542488,-0.712712772944,
14005,-0.288601984435,1.20270082003,-0.713565353604,
14022,-0.301071155863,1.19923793429,-0.712536354976,
14041,-0.319093248384,1.19427171116,-0.713295670428,
14066,-0.327930374246,1.19171299243,-0.713670637418,
14091,-0.358953028566,1.18208001958,-0.715011051145,
14109,-0.375580916456,1.17649430745,-0.715743126785,
14128,-0.398766241821,1.16816313564,-0.715911037041,
14148,-0.412696968458,1.16291201866,-0.71653175732,
14174,-0.426128771137,1.15764319322,-0.717134117003,
14191,-0.441244365796,1.15146932323,-0.717816756147,
14213,-0.449858510009,1.14783308762,-0.718208147911,
14229,-0.468737688456,1.13956132954,-0.719070956736,
14253,-0.486281610972,1.13149555296,-0.719880251743,
14270,-0.507188310324,1.12220381559,-0.71968428664,
14292,-0.530391806277,1.11035675985,-0.720754250771,
14311,-0.530391806277,1.11035675985,-0.720754250771,
14337,-0.570958982439,1.08817270941,-0.721720174675,
14350,-0.582486341575,1.08141173547,-0.72226104749,
14369,-0.582486341575,1.08141173547,-0.72226104749,
14390,-0.600631716639,1.07038950833,-0.723119865724,
14410,-0.611800995202,1.06336918753,-0.723652601963,
14431,-0.628728362182,1.05237669971,-0.724465521504,
14452,-0.657973860451,1.03277749549,-0.72480251263,
14474,-0.665835024665,1.02717934028,-0.725181813907,
14492,-0.690643978127,1.00885547371,-0.726390559254,
14516,-0.706798609113,0.996370074748,-0.727187544666,
14542,-0.721060051967,0.985087284901,-0.726205559238,
14556,-0.721060051967,0.985087284901,-0.726205559238,
14571,-0.746142565575,0.964173803078,-0.727432398417,
14592,-0.755578222692,0.955998122933,-0.727897563052,
14614,-0.777594579433,0.936229225618,-0.72899834875,
14634,-0.782256406097,0.932246641996,-0.728113566479,
14652,-0.782256406097,0.932246641996,-0.728113566479,
14675,-0.815367798689,0.900289652005,-0.72981802094,
14694,-0.815367798689,0.900289652005,-0.72981802094,
14709,-0.815367798689,0.900289652005,-0.72981802094,
14729,-0.846951028329,0.867880538317,-0.730584337218,
14754,-0.846951028329,0.867880538317,-0.730584337218,
14772,-0.873077894221,0.838692972813,-0.732056009357,
14789,-0.873077894221,0.838692972813,-0.732056009357,
14810,-0.903378576636,0.80225231106,-0.733854312624,
14831,-0.911369959259,0.792789248127,-0.733552752431,
14876,-0.940078524308,0.754528037419,-0.735360152874,
14879,-0.940078524308,0.754528037419,-0.735360152874,
14894,-0.952706681104,0.736630208565,-0.736176689464,
14914,-0.957883383298,0.729088022129,-0.73651504691,
14936,-0.963777267598,0.72035046826,-0.736902674975,
14958,-0.978938711689,0.69814339458,-0.736685112675,
14977,-0.986764194625,0.685709853999,-0.737203442214,
14994,-1.00206900944,0.660406584579,-0.738239972297,
15014,-1.01302413509,0.64141837007,-0.739006469618,
15034,-1.01963559746,0.630741695301,-0.738793995601,
15052,-1.0272561576,0.616745081172,-0.739342776584,
15079,-1.03676858806,0.598644992581,-0.740043807857,
15096,-1.04931092252,0.573608260333,-0.741001552097,
15117,-1.0522494035,0.567531009133,-0.741232236236,
15136,-1.06360236887,0.544926813957,-0.741720017482,
15156,-1.07063922023,0.529173651288,-0.742303289035,
15179,-1.07549607765,0.517943056182,-0.742714849956,
15197,-1.08756654677,0.488607915653,-0.743774754114,
15215,-1.09328907615,0.473900103064,-0.74429785817,
15236,-1.09910844597,0.460249917888,-0.744076831371,
15260,-1.10534956039,0.442886616767,-0.744674732948,
15277,-1.11148677871,0.424964973955,-0.745286309393,
15294,-1.11781560379,0.40547486324,-0.745945431156,
15311,-1.12232906046,0.390855214781,-0.746435764915,
15333,-1.12992712402,0.366602943818,-0.74647691563,
